"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
188,72,89,129,21,106,14,59,125,133,192,45,130,68
10,26,32,131,126,194,186,201,31,8,136,2,152,47
-137,159,82,NA,-149,NA,83,122,94,107,128,163,180,11
-167,101,-28,NA,22,NA,-3,61,-42,144,-170,118,NA,124
119,171,127,NA,-113,NA,88,142,33,147,146,158,NA,70
115,190,-87,NA,69,NA,-48,179,-145,NA,-4,NA,NA,NA
49,67,NA,NA,NA,NA,85,71,156,NA,-121,NA,NA,NA
-205,53,NA,NA,NA,NA,60,177,-151,NA,197,NA,NA,NA
150,NA,NA,NA,NA,NA,-195,NA,111,NA,211,NA,NA,NA
-12,NA,NA,NA,NA,NA,187,NA,51,NA,140,NA,NA,NA
27,NA,NA,NA,NA,NA,96,NA,86,NA,148,NA,NA,NA
209,NA,NA,NA,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,NA,NA,NA,-50,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
