"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
97,178,211,104,34,175,159,141,15,105,192,171,146,115
32,151,123,179,23,190,38,136,181,206,65,205,27,188
148,204,161,NA,22,NA,39,195,152,199,102,19,162,24
73,98,58,NA,201,NA,57,149,83,18,63,111,NA,108
113,207,50,NA,138,NA,119,114,101,88,134,2,NA,107
182,198,120,NA,71,NA,191,42,53,NA,180,NA,NA,NA
187,145,NA,NA,NA,NA,77,112,170,NA,100,NA,NA,NA
172,44,NA,NA,NA,NA,14,78,35,NA,127,NA,NA,NA
49,NA,NA,NA,NA,NA,84,NA,51,NA,189,NA,NA,NA
131,NA,NA,NA,NA,NA,41,NA,174,NA,173,NA,NA,NA
94,NA,NA,NA,NA,NA,82,NA,46,NA,21,NA,NA,NA
74,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
